date,rest_days,away_team,away_q1,away_q2,away_q3,away_q4,away_OT,away_final,home_team,home_q1,home_q2,home_q3,home_q4,home_OT,home_final
2015-10-27,10,CLE,17,23,28,27,0,95,CHI,26,20,25,26,0,97
2015-10-28,1,CLE,26,27,26,27,0,106,MEM,10,22,23,21,0,76
2015-10-30,2,MIA,23,19,25,25,0,92,CLE,29,18,29,26,0,102
2015-11-02,3,CLE,18,31,33,25,0,107,PHI,32,22,18,28,0,100
2015-11-04,2,NYK,32,14,23,17,0,86,CLE,18,20,32,26,0,96
2015-11-06,2,PHI,25,25,23,29,0,102,CLE,28,21,32,27,0,108
2015-11-08,2,IND,22,20,31,24,0,97,CLE,24,23,27,27,0,101
2015-11-10,2,UTA,22,26,32,34,0,114,CLE,27,25,28,38,0,118
2015-11-13,3,CLE,29,17,20,24,0,90,NYK,23,30,19,12,0,84
2015-11-14,1,CLE,23,21,17,27,8,105,MIL,23,27,20,18,8,108
2015-11-17,3,CLE,27,29,25,18,0,99,DET,31,24,20,29,0,104
2015-11-19,2,MIL,23,25,31,21,0,100,CLE,28,35,23,29,0,115
2015-11-21,2,ATL,19,23,22,33,0,97,CLE,27,30,20,32,0,109
2015-11-23,2,ORL,27,28,21,27,0,103,CLE,29,30,33,25,0,117
2015-11-25,2,CLE,25,24,31,19,0,99,TOR,25,24,33,21,0,103
2015-11-27,2,CLE,23,27,22,23,0,95,CHO,22,30,24,14,0,90
2015-11-28,1,BRK,24,26,18,20,0,88,CLE,17,27,25,21,0,90
2015-12-01,3,WAS,27,27,26,17,0,97,CLE,24,19,24,18,0,85
2015-12-04,3,CLE,27,26,24,28,3,108,NOP,21,31,32,21,9,114
2015-12-05,1,CLE,22,20,22,20,0,84,MIA,34,26,23,16,0,99
2015-12-08,3,POR,25,31,19,25,0,100,CLE,17,30,30,28,0,105
2015-12-11,3,CLE,22,31,30,28,0,111,ORL,20,17,15,24,0,76
2015-12-15,4,CLE,23,17,29,20,0,89,BOS,25,21,15,16,0,77
2015-12-17,2,OKC,28,19,31,22,0,100,CLE,26,20,28,30,0,104
2015-12-20,3,PHI,25,13,22,26,0,86,CLE,21,34,33,20,0,108
2015-12-23,3,NYK,24,26,22,12,0,84,CLE,31,24,17,19,0,91
2015-12-25,2,CLE,19,23,17,24,0,83,GSW,28,17,19,25,0,89
2015-12-26,1,CLE,12,22,25,17,0,76,POR,34,29,27,15,0,105
